,Training datasets,
Protein_ID,Cysteine_ positions,Pos & Neg samples
sp|Q7TPV4|MBB1A_MOUSE,896,SNO
sp|Q7TPV4|MBB1A_MOUSE,1028,SNO
sp|Q7TPV4|MBB1A_MOUSE,1043,SNO
sp|O55081|RBL2_RAT,50,SNO
sp|Q80W21|GSTM7_MOUSE,87,SNO
sp|Q80W21|GSTM7_MOUSE,115,SNO
sp|Q80W21|GSTM7_MOUSE,174,SNO
sp|O95573|ACSL3_HUMAN,450,SNO
sp|O95573|ACSL3_HUMAN,561,SNO
sp|O95573|ACSL3_HUMAN,573,SNO
sp|P62495|ERF1_HUMAN,335,SNO
sp|P61161|ARP2_MOUSE,11,SNO
sp|P61161|ARP2_MOUSE,221,SNO
sp|P61164|ACTZ_MOUSE,34,SNO
sp|Q99JB8|PACN3_MOUSE,231,SNO
sp|Q99JB8|PACN3_MOUSE,402,SNO
sp|Q99JB8|PACN3_MOUSE,421,SNO
sp|Q9Z0S1|BPNT1_MOUSE,59,SNO
sp|Q9Z0S1|BPNT1_MOUSE,206,SNO
sp|Q9Z0S1|BPNT1_MOUSE,243,SNO
sp|Q9Z0S1|BPNT1_MOUSE,249,SNO
sp|P29401|TKT_HUMAN,386,SNO
sp|A2AJB2|TM141_MOUSE,26,SNO
sp|P54886|P5CS_HUMAN,606,SNO
sp|P54886|P5CS_HUMAN,612,SNO
sp|P29402|CALX1_ARATH,108,SNO
sp|Q92945|FUBP2_HUMAN,176,SNO
sp|Q92945|FUBP2_HUMAN,436,SNO
sp|Q8R3F5|FABD_MOUSE,118,SNO
sp|Q8R3F5|FABD_MOUSE,270,SNO
sp|Q9P000|COMD9_HUMAN,28,SNO
sp|Q9P000|COMD9_HUMAN,47,SNO
sp|Q9P000|COMD9_HUMAN,147,SNO
sp|O55091|IMPCT_MOUSE,38,SNO
sp|A2AVZ9|S43A3_MOUSE,251,SNO
sp|Q9DB05|SNAA_MOUSE,42,SNO
sp|P21912|SDHB_HUMAN,249,SNO
sp|Q91WS0|CISD1_MOUSE,72,SNO
sp|Q91WS0|CISD1_MOUSE,83,SNO
sp|Q8K2Y7|RM47_MOUSE,89,SNO
sp|Q6P1F6|2ABA_MOUSE,13,SNO
sp|P52631|STAT3_RAT,259,SNO
sp|P50453|SPB9_HUMAN,310,SNO
sp|P50453|SPB9_HUMAN,350,SNO
sp|Q3U1J4|DDB1_MOUSE,128,SNO
sp|Q3U1J4|DDB1_MOUSE,378,SNO
sp|Q6P9V9|TBA1B_RAT,295,SNO
sp|Q6P9V9|TBA1B_RAT,347,SNO
sp|Q6P9V9|TBA1B_RAT,376,SNO
sp|Q06587|RING1_HUMAN,398,SNO
sp|Q9QY76|VAPB_MOUSE,41,SNO
sp|Q9QY76|VAPB_MOUSE,121,SNO
sp|P51787|KCNQ1_HUMAN,445,SNO
sp|O14508|SOCS2_HUMAN,5,SNO
sp|O14508|SOCS2_HUMAN,111,SNO
sp|O14508|SOCS2_HUMAN,167,SNO
sp|Q8CIE6|COPA_MOUSE,41,SNO
sp|Q8CIE6|COPA_MOUSE,245,SNO
sp|Q8CIE6|COPA_MOUSE,254,SNO
sp|Q8CIE6|COPA_MOUSE,522,SNO
sp|P54819|KAD2_HUMAN,40,SNO
sp|P54819|KAD2_HUMAN,42,SNO
sp|P54819|KAD2_HUMAN,92,SNO
sp|O09161|CASQ2_MOUSE,53,SNO
sp|Q9JKX6|NUDT5_MOUSE,75,SNO
sp|Q9DB77|QCR2_MOUSE,192,SNO
sp|P50462|CSRP3_MOUSE,79,SNO
sp|P50462|CSRP3_MOUSE,120,SNO
sp|P50462|CSRP3_MOUSE,123,SNO
sp|P50462|CSRP3_MOUSE,168,SNO
sp|P50462|CSRP3_MOUSE,171,SNO
sp|Q9Y237|PIN4_HUMAN,45,SNO
sp|Q9H4P4|RNF41_HUMAN,106,SNO
sp|Q9H4P4|RNF41_HUMAN,134,SNO
sp|Q9H4P4|RNF41_HUMAN,238,SNO
sp|Q3U5Q7|CMPK2_MOUSE,44,SNO
sp|Q3U5Q7|CMPK2_MOUSE,243,SNO
sp|Q3U5Q7|CMPK2_MOUSE,422,SNO
sp|P33947|ERD22_HUMAN,29,SNO
sp|Q8JZQ2|AFG32_MOUSE,625,SNO
sp|O55070|DNSL3_MOUSE,73,SNO
sp|Q9UGI8|TES_HUMAN,238,SNO
sp|Q12879|NMDE1_HUMAN,87,SNO
sp|Q12879|NMDE1_HUMAN,320,SNO
sp|Q12879|NMDE1_HUMAN,399,SNO
sp|Q9D0T1|NH2L1_MOUSE,102,SNO
sp|Q9ER35|FN3K_MOUSE,130,SNO
sp|Q08752|PPID_HUMAN,275,SNO
sp|Q08752|PPID_HUMAN,282,SNO
sp|P54823|DDX6_MOUSE,324,SNO
sp|P54822|PUR8_MOUSE,27,SNO
sp|P54822|PUR8_MOUSE,266,SNO
sp|O82663|SDHA1_ARATH,526,SNO
sp|Q07417|ACADS_MOUSE,151,SNO
sp|Q07417|ACADS_MOUSE,246,SNO
sp|Q07417|ACADS_MOUSE,289,SNO
sp|O35433|TRPV1_RAT,616,SNO
sp|O35433|TRPV1_RAT,621,SNO
sp|O09173|HGD_MOUSE,14,SNO
sp|O09173|HGD_MOUSE,21,SNO
sp|O09173|HGD_MOUSE,138,SNO
sp|O09173|HGD_MOUSE,377,SNO
sp|Q8C025|CHPT1_MOUSE,386,SNO
sp|Q9DB60|PGFS_MOUSE,12,SNO
sp|Q9WVA3|BUB3_MOUSE,129,SNO
sp|P40237|CD82_MOUSE,174,SNO
sp|P40237|CD82_MOUSE,176,SNO
sp|Q9WVA4|TAGL2_MOUSE,63,SNO
sp|Q9EQQ9|OGA_MOUSE,596,SNO
sp|Q9EQQ9|OGA_MOUSE,863,SNO
sp|Q9D0S9|HINT2_MOUSE,75,SNO
sp|P0ACQ4|OXYR_ECOLI,199,SNO
sp|P30427|PLEC_RAT,4316,SNO
sp|Q9Z0N1|IF2G_MOUSE,101,SNO
sp|Q9Z0N1|IF2G_MOUSE,105,SNO
sp|Q9Z0N1|IF2G_MOUSE,269,SNO
sp|Q9Z0N1|IF2G_MOUSE,348,SNO
sp|Q9Z0N1|IF2G_MOUSE,434,SNO
sp|P33937|NAPA_ECOLI,67,SNO
sp|Q9QXX4|CMC2_MOUSE,378,SNO
sp|Q9QXX4|CMC2_MOUSE,490,SNO
sp|Q9QXX4|CMC2_MOUSE,566,SNO
sp|Q8CIB5|FERM2_MOUSE,426,SNO
sp|P52657|T2AG_HUMAN,98,SNO
sp|P16125|LDHB_MOUSE,36,SNO
sp|P16125|LDHB_MOUSE,164,SNO
sp|P16125|LDHB_MOUSE,294,SNO
sp|Q91X91|NADC_MOUSE,111,SNO
sp|Q91X91|NADC_MOUSE,159,SNO
sp|P84243|H33_HUMAN,111,SNO
sp|P20618|PSB1_HUMAN,82,SNO
sp|P20618|PSB1_HUMAN,89,SNO
sp|P20618|PSB1_HUMAN,224,SNO
sp|Q6NUQ4|TM214_HUMAN,529,SNO
sp|Q9JKV1|ADRM1_MOUSE,88,SNO
sp|Q9H0F7|ARL6_HUMAN,148,SNO
sp|Q9DAT5|MTU1_MOUSE,101,SNO
sp|Q91X97|NCALD_MOUSE,185,SNO
sp|P53994|RAB2A_MOUSE,21,SNO
sp|O95149|SPN1_HUMAN,199,SNO
sp|O95149|SPN1_HUMAN,356,SNO
sp|Q60930|VDAC2_MOUSE,104,SNO
sp|P30416|FKBP4_MOUSE,328,SNO
sp|P30416|FKBP4_MOUSE,396,SNO
sp|Q60932|VDAC1_MOUSE,140,SNO
sp|Q60932|VDAC1_MOUSE,245,SNO
sp|P31749|AKT1_HUMAN,224,SNO
sp|P31749|AKT1_HUMAN,296,SNO
sp|P31749|AKT1_HUMAN,310,SNO
sp|O95140|MFN2_HUMAN,390,SNO
sp|P53996|CNBP_MOUSE,88,SNO
sp|P53996|CNBP_MOUSE,141,SNO
sp|P53996|CNBP_MOUSE,159,SNO
sp|Q9D0R2|SYTC_MOUSE,655,SNO
sp|Q8JZN7|MIRO2_MOUSE,545,SNO
sp|O35459|ECH1_MOUSE,91,SNO
sp|O35459|ECH1_MOUSE,101,SNO
sp|Q60936|COQ8A_MOUSE,265,SNO
sp|Q60936|COQ8A_MOUSE,403,SNO
sp|Q60936|COQ8A_MOUSE,617,SNO
sp|Q60936|COQ8A_MOUSE,638,SNO
sp|P63318|KPCG_MOUSE,296,SNO
sp|P63318|KPCG_MOUSE,305,SNO
sp|Q9Z110|P5CS_MOUSE,674,SNO
tr|Q53HE2|Q53HE2_HUMAN,218,SNO
sp|Q8QZZ7|TPRKB_MOUSE,167,SNO
sp|Q9DB43|ZFPL1_MOUSE,230,SNO
sp|Q15019|SEPT2_HUMAN,111,SNO
sp|Q07076|ANXA7_MOUSE,338,SNO
sp|O00308|WWP2_HUMAN,186,SNO
sp|Q91WN4|KMO_MOUSE,139,SNO
sp|Q91WN4|KMO_MOUSE,299,SNO
sp|P97501|FMO3_MOUSE,197,SNO
sp|P97501|FMO3_MOUSE,397,SNO
sp|P50416|CPT1A_HUMAN,96,SNO
sp|P50416|CPT1A_HUMAN,613,SNO
sp|Q9M339|RS32_ARATH,134,SNO
sp|Q8NHW5|RLA0L_HUMAN,27,SNO
sp|Q8NHW5|RLA0L_HUMAN,119,SNO
sp|O60841|IF2P_HUMAN,1092,SNO
sp|Q01768|NDKB_MOUSE,109,SNO
sp|Q9LR30|GGT1_ARATH,382,SNO
sp|Q9LR30|GGT1_ARATH,417,SNO
sp|Q8BW75|AOFB_MOUSE,26,SNO
sp|Q8BW75|AOFB_MOUSE,365,SNO
sp|Q15021|CND1_HUMAN,286,SNO
sp|P62878|RBX1_MOUSE,94,SNO
sp|P62879|GBB2_HUMAN,94,SNO
sp|P25444|RS2_MOUSE,182,SNO
sp|P25444|RS2_MOUSE,188,SNO
sp|P25444|RS2_MOUSE,229,SNO
sp|P62874|GBB1_MOUSE,294,SNO
sp|Q9EQF5|DPYS_MOUSE,220,SNO
sp|Q9EQF5|DPYS_MOUSE,242,SNO
sp|Q9EQF5|DPYS_MOUSE,483,SNO
sp|Q07065|CKAP4_HUMAN,100,SNO
sp|P23284|PPIB_HUMAN,202,SNO
sp|Q9D517|PLCC_MOUSE,217,SNO
sp|Q9D517|PLCC_MOUSE,254,SNO
sp|Q8VCT3|AMPB_MOUSE,151,SNO
sp|Q8VCT3|AMPB_MOUSE,181,SNO
sp|A2AAJ9|OBSCN_MOUSE,3060,SNO
sp|Q9NWZ5|UCKL1_HUMAN,317,SNO
sp|P35248|SFTPD_RAT,34,SNO
sp|P35248|SFTPD_RAT,39,SNO
sp|P62880|GBB2_MOUSE,25,SNO
sp|P62880|GBB2_MOUSE,148,SNO
sp|P62880|GBB2_MOUSE,149,SNO
sp|P62880|GBB2_MOUSE,204,SNO
sp|P62880|GBB2_MOUSE,250,SNO
sp|P35250|RFC2_HUMAN,255,SNO
sp|O35874|SATT_MOUSE,355,SNO
sp|O55022|PGRC1_MOUSE,129,SNO
sp|Q8WX93|PALLD_HUMAN,964,SNO
sp|Q14181|DPOA2_HUMAN,198,SNO
sp|Q71FD7|FBLI1_MOUSE,35,SNO
sp|Q71FD7|FBLI1_MOUSE,334,SNO
sp|P62889|RL30_MOUSE,52,SNO
sp|P62889|RL30_MOUSE,85,SNO
sp|P62889|RL30_MOUSE,92,SNO
sp|O09131|GSTO1_MOUSE,32,SNO
sp|O09131|GSTO1_MOUSE,90,SNO
sp|O09131|GSTO1_MOUSE,191,SNO
sp|O09131|GSTO1_MOUSE,236,SNO
sp|Q8CDN6|TXNL1_MOUSE,149,SNO
sp|P27635|RL10_HUMAN,195,SNO
sp|Q9CX86|ROA0_MOUSE,36,SNO
sp|Q99NB9|SF3B1_MOUSE,933,SNO
sp|Q924D0|RT4I1_MOUSE,130,SNO
sp|Q924D0|RT4I1_MOUSE,236,SNO
sp|P0A6K6|DEOB_ECOLI,267,SNO
sp|P13448|NHAA_RHOER,113,SNO
sp|Q8BRK8|AAPK2_MOUSE,174,SNO
sp|Q8BRK8|AAPK2_MOUSE,490,SNO
sp|P35235|PTN11_MOUSE,104,SNO
sp|P13444|METK1_RAT,121,SNO
sp|Q3UK37|TEDC1_MOUSE,398,SNO
sp|P14780|MMP9_HUMAN,99,SNO
sp|Q99NB1|ACS2L_MOUSE,41,SNO
sp|Q99NB1|ACS2L_MOUSE,86,SNO
sp|Q99NB1|ACS2L_MOUSE,144,SNO
sp|Q99NB1|ACS2L_MOUSE,178,SNO
sp|Q99NB1|ACS2L_MOUSE,235,SNO
sp|Q99NB1|ACS2L_MOUSE,271,SNO
sp|Q99NB1|ACS2L_MOUSE,491,SNO
sp|Q9D0F9|PGM1_MOUSE,101,SNO
sp|Q9D0F9|PGM1_MOUSE,160,SNO
sp|Q9D0F9|PGM1_MOUSE,374,SNO
sp|P0A6L2|DAPA_ECOLI,218,SNO
sp|P62897|CYC_MOUSE,15,SNO
sp|P62897|CYC_MOUSE,18,SNO
sp|Q9D0F6|RFC5_MOUSE,237,SNO
sp|P01012|OVAL_CHICK,368,SNO
sp|P01011|AACT_HUMAN,261,SNO
sp|Q8TAT6|NPL4_HUMAN,188,SNO
sp|P0C8J8|GATZ_ECOLI,149,SNO
sp|P0C8J8|GATZ_ECOLI,159,SNO
sp|Q8CI51|PDLI5_MOUSE,73,SNO
sp|Q8CHT0|AL4A1_MOUSE,94,SNO
sp|Q8CHT0|AL4A1_MOUSE,279,SNO
sp|Q8CHT0|AL4A1_MOUSE,314,SNO
sp|P0C8J6|GATY_ECOLI,124,SNO
sp|O14980|XPO1_HUMAN,528,SNO
sp|Q9Y696|CLIC4_HUMAN,234,SNO
sp|Q91WK1|SPRY4_MOUSE,114,SNO
sp|P35222|CTNB1_HUMAN,520,SNO
sp|Q91WK5|GCSH_MOUSE,135,SNO
sp|Q62234|MYOM1_MOUSE,406,SNO
sp|Q62234|MYOM1_MOUSE,778,SNO
sp|Q62234|MYOM1_MOUSE,1601,SNO
sp|P17812|PYRG1_HUMAN,362,SNO
sp|Q9H4A6|GOLP3_HUMAN,280,SNO
sp|P01009|A1AT_HUMAN,256,SNO
sp|O14972|DSCR3_HUMAN,137,SNO
sp|Q9D0E1|HNRPM_MOUSE,113,SNO
sp|Q3V4B5|COMD6_MOUSE,37,SNO
sp|Q9D0M3|CY1_MOUSE,139,SNO
sp|Q9D0M3|CY1_MOUSE,219,SNO
sp|Q9EQK5|MVP_MOUSE,59,SNO
sp|P70460|VASP_MOUSE,332,SNO
sp|P62838|UB2D2_MOUSE,111,SNO
sp|P62839|UB2D2_RAT,85,SNO
sp|Q9D0M5|DYL2_MOUSE,24,SNO
sp|Q9D0M5|DYL2_MOUSE,56,SNO
sp|Q64462|CP4B1_MOUSE,250,SNO
sp|P15209|NTRK2_MOUSE,32,SNO
sp|P15209|NTRK2_MOUSE,36,SNO
sp|P15209|NTRK2_MOUSE,38,SNO
sp|P15209|NTRK2_MOUSE,45,SNO
sp|Q80ZW2|THEM6_MOUSE,146,SNO
sp|P59665|DEF1_HUMAN,83,SNO
sp|Q6P5F9|XPO1_MOUSE,164,SNO
sp|Q64467|G3PT_MOUSE,351,SNO
sp|P13033|GLPB_ECOLI,284,SNO
sp|Q99567|NUP88_HUMAN,155,SNO
sp|P49458|SRP09_HUMAN,39,SNO
sp|P49458|SRP09_HUMAN,48,SNO
sp|P62830|RL23_MOUSE,28,SNO
sp|Q8BVZ1|PLIN5_MOUSE,51,SNO
sp|P05412|JUN_HUMAN,269,SNO
sp|P05412|JUN_HUMAN,320,SNO
sp|Q7TQ48|SRCA_MOUSE,648,SNO
sp|Q07021|C1QBP_HUMAN,186,SNO
sp|P06745|G6PI_MOUSE,133,SNO
sp|P06745|G6PI_MOUSE,404,SNO
tr|Q6IAT1|Q6IAT1_HUMAN,202,SNO
tr|Q6IAT1|Q6IAT1_HUMAN,414,SNO
sp|Q9Z0E0|NCDN_MOUSE,415,SNO
sp|P16546|SPTN1_MOUSE,1622,SNO
sp|O35831|CDK17_RAT,233,SNO
sp|P49448|DHE4_HUMAN,112,SNO
sp|Q6IRU2|TPM4_MOUSE,154,SNO
sp|P01027|CO3_MOUSE,873,SNO
sp|Q6IRU5|CLCB_MOUSE,199,SNO
sp|Q8QZT1|THIL_MOUSE,116,SNO
sp|Q8QZT1|THIL_MOUSE,139,SNO
sp|Q8QZT1|THIL_MOUSE,193,SNO
sp|Q8QZT1|THIL_MOUSE,410,SNO
sp|P61514|RL37A_MOUSE,42,SNO
sp|Q8VCW8|ACSF2_MOUSE,467,SNO
sp|Q8VCW8|ACSF2_MOUSE,503,SNO
sp|Q9D0K2|SCOT1_MOUSE,456,SNO
sp|Q9D0K2|SCOT1_MOUSE,504,SNO
sp|Q7TPR4|ACTN1_MOUSE,332,SNO
sp|P23297|S10A1_HUMAN,86,SNO
sp|P03206|BZLF1_EBVB9,189,SNO
sp|P49442|INPP_MOUSE,277,SNO
sp|Q62261|SPTB2_MOUSE,1389,SNO
sp|Q64442|DHSO_MOUSE,179,SNO
sp|Q64442|DHSO_MOUSE,350,SNO
sp|A8K7I4|CLCA1_HUMAN,187,SNO
sp|A8K7I4|CLCA1_HUMAN,308,SNO
sp|P13489|RINI_HUMAN,75,SNO
sp|P13489|RINI_HUMAN,85,SNO
sp|P13489|RINI_HUMAN,248,SNO
sp|P35282|RAB21_MOUSE,27,SNO
sp|P17844|DDX5_HUMAN,234,SNO
sp|P13010|XRCC5_HUMAN,235,SNO
sp|P13010|XRCC5_HUMAN,249,SNO
sp|P13010|XRCC5_HUMAN,296,SNO
sp|P13010|XRCC5_HUMAN,339,SNO
sp|P13010|XRCC5_HUMAN,346,SNO
sp|P13010|XRCC5_HUMAN,493,SNO
sp|P35285|RB22A_MOUSE,9,SNO
sp|Q07009|CAN2_RAT,301,SNO
sp|P62858|RS28_MOUSE,27,SNO
sp|O14920|IKKB_HUMAN,179,SNO
sp|Q8QZS1|HIBCH_MOUSE,44,SNO
sp|Q8QZS1|HIBCH_MOUSE,94,SNO
sp|Q8QZS1|HIBCH_MOUSE,270,SNO
sp|Q8QZS1|HIBCH_MOUSE,335,SNO
sp|Q64459|CP3AB_MOUSE,469,SNO
sp|Q8QZR5|ALAT1_MOUSE,29,SNO
sp|Q8QZR5|ALAT1_MOUSE,238,SNO
sp|Q8QZR5|ALAT1_MOUSE,254,SNO
sp|Q9BQ04|RBM4B_HUMAN,31,SNO
sp|Q3TXS7|PSMD1_MOUSE,898,SNO
sp|Q8CI94|PYGB_MOUSE,437,SNO
sp|Q8CI94|PYGB_MOUSE,758,SNO
sp|Q8CI94|PYGB_MOUSE,808,SNO
sp|Q9BU89|DOHH_HUMAN,200,SNO
sp|Q9BU89|DOHH_HUMAN,242,SNO
sp|Q9BU89|DOHH_HUMAN,254,SNO
sp|Q9BU89|DOHH_HUMAN,273,SNO
sp|Q9DAK9|PHP14_MOUSE,39,SNO
sp|P59215|GNAO_RAT,140,SNO
sp|Q09666|AHNK_HUMAN,1833,SNO
sp|Q09666|AHNK_HUMAN,1900,SNO
sp|Q09666|AHNK_HUMAN,2806,SNO
sp|Q62277|SYPH_MOUSE,87,SNO
sp|Q99536|VAT1_HUMAN,50,SNO
sp|O35855|BCAT2_MOUSE,229,SNO
sp|O09110|MP2K3_MOUSE,29,SNO
sp|Q3TCJ1|ABRX2_MOUSE,237,SNO
sp|P60203|MYPR_RAT,201,SNO
sp|P60202|MYPR_MOUSE,109,SNO
sp|P60202|MYPR_MOUSE,220,SNO
sp|P60202|MYPR_MOUSE,228,SNO
sp|Q6JQN1|ACD10_HUMAN,109,SNO
sp|P62869|ELOB_MOUSE,60,SNO
sp|O88342|WDR1_MOUSE,170,SNO
sp|O88342|WDR1_MOUSE,225,SNO
sp|O88342|WDR1_MOUSE,325,SNO
sp|O88342|WDR1_MOUSE,382,SNO
sp|P49429|HPPD_MOUSE,103,SNO
sp|Q9D0I9|SYRC_MOUSE,86,SNO
sp|Q9D0I9|SYRC_MOUSE,369,SNO
sp|Q9D0I9|SYRC_MOUSE,502,SNO
sp|Q9D0I9|SYRC_MOUSE,638,SNO
tr|Q8K366|Q8K366_MOUSE,288,SNO
sp|Q14204|DYHC1_HUMAN,1999,SNO
sp|Q1XH17|TRI72_MOUSE,242,SNO
sp|Q1XH17|TRI72_MOUSE,313,SNO
sp|Q1XH17|TRI72_MOUSE,456,SNO
sp|Q9CY45|EFMT1_MOUSE,79,SNO
sp|P55264|ADK_MOUSE,105,SNO
sp|P55264|ADK_MOUSE,159,SNO
sp|P55264|ADK_MOUSE,352,SNO
sp|Q9UPN9|TRI33_HUMAN,582,SNO
sp|P12532|KCRU_HUMAN,62,SNO
sp|P09373|PFLB_ECOLI,123,SNO
sp|P01876|IGHA1_HUMAN,204,SNO
sp|P01876|IGHA1_HUMAN,250,SNO
sp|P01876|IGHA1_HUMAN,313,SNO
sp|Q14690|RRP5_HUMAN,89,SNO
sp|Q9BQG0|MBB1A_HUMAN,1031,SNO
sp|Q8CEI1|BOLA3_MOUSE,62,SNO
sp|Q8CEI1|BOLA3_MOUSE,110,SNO
sp|Q9LF33|UGDH3_ARATH,350,SNO
sp|P01871|IGHM_HUMAN,197,SNO
sp|P01871|IGHM_HUMAN,351,SNO
sp|Q13363|CTBP1_HUMAN,54,SNO
sp|Q13363|CTBP1_HUMAN,350,SNO
sp|O88451|RDH7_MOUSE,60,SNO
sp|Q60597|ODO1_MOUSE,283,SNO
sp|Q60597|ODO1_MOUSE,331,SNO
sp|Q60597|ODO1_MOUSE,395,SNO
sp|Q60597|ODO1_MOUSE,487,SNO
sp|Q60597|ODO1_MOUSE,507,SNO
sp|Q60597|ODO1_MOUSE,566,SNO
sp|Q60597|ODO1_MOUSE,604,SNO
sp|Q60597|ODO1_MOUSE,904,SNO
sp|Q60597|ODO1_MOUSE,956,SNO
sp|Q99K51|PLST_MOUSE,33,SNO
sp|Q99K51|PLST_MOUSE,143,SNO
sp|Q14699|RFTN1_HUMAN,211,SNO
sp|Q60598|SRC8_MOUSE,112,SNO
sp|Q9DBC7|KAP0_MOUSE,18,SNO
sp|Q9HB71|CYBP_HUMAN,154,SNO
sp|Q8BK64|AHSA1_MOUSE,56,SNO
sp|Q14697|GANAB_HUMAN,47,SNO
sp|Q8BJU0|SGTA_MOUSE,130,SNO
sp|Q8BJU0|SGTA_MOUSE,149,SNO
sp|P32132|TYPA_ECOLI,537,SNO
sp|Q9DBC0|SELO_MOUSE,220,SNO
sp|Q6NZJ6|IF4G1_MOUSE,825,SNO
sp|Q6NZJ6|IF4G1_MOUSE,940,SNO
sp|Q8VDN2|AT1A1_MOUSE,211,SNO
sp|Q8VDN2|AT1A1_MOUSE,249,SNO
sp|Q8VDN2|AT1A1_MOUSE,374,SNO
sp|Q8VDN2|AT1A1_MOUSE,428,SNO
sp|Q8VDN2|AT1A1_MOUSE,459,SNO
sp|Q8VDN2|AT1A1_MOUSE,518,SNO
sp|Q8VDN2|AT1A1_MOUSE,663,SNO
sp|Q8VDN2|AT1A1_MOUSE,705,SNO
tr|Q3V117|Q3V117_MOUSE,229,SNO
sp|O75131|CPNE3_HUMAN,54,SNO
sp|P41091|IF2G_HUMAN,236,SNO
sp|P68104|EF1A1_HUMAN,111,SNO
sp|P68104|EF1A1_HUMAN,234,SNO
sp|P68104|EF1A1_HUMAN,411,SNO
sp|P09382|LEG1_HUMAN,131,SNO
sp|Q8R010|AIMP2_MOUSE,306,SNO
sp|Q9CY27|TECR_MOUSE,18,SNO
sp|Q8R016|BLMH_MOUSE,164,SNO
sp|P00533|EGFR_HUMAN,190,SNO
sp|P00533|EGFR_HUMAN,291,SNO
sp|P00533|EGFR_HUMAN,311,SNO
sp|P00533|EGFR_HUMAN,329,SNO
sp|P00533|EGFR_HUMAN,470,SNO
sp|O88441|MTX2_MOUSE,246,SNO
sp|Q9D1A2|CNDP2_MOUSE,300,SNO
sp|Q8IWZ3|ANKH1_HUMAN,181,SNO
